,bajo_nivel_pobreza,codigo,direccio_estado,direccio_fisica,direccion_municipio,direccion_zipcode,director,distrito,escuela,espa_ol_avanzado,espa_ol_b_sico,espa_ol_pre_b_sico,espa_ol_proficiente,espa_ol_proficiente_avanzado,estatus_actual,fax,geolocalizacion,grado_1,grado_10,grado_11,grado_12,grado_2,grado_3,grado_4,grado_5,grado_6,grado_7,grado_8,grado_9,grado_infant,grado_k,grado_pk,grado_pke,grado_pkm,grado_sge,grado_sgi,grado_sgs,grado_toddler,grados_original,grados_posterior,ingl_s_avanzado,ingl_s_b_sico,ingl_s_pre_b_sico,ingl_s_proficiente,ingl_s_proficiente_avanzado,matem_ticas_avanzado,matem_ticas_b_sico,matem_ticas_pre_b_sico,matem_ticas_proficiente,matem_ticas_proficiente_avanzado,matricula_total,municipio_escolar,nivel_original,region,table_id,telefono,zona
0,86.24,35295,PR,CARR ESTATAL 200 ESQ CARR ESTATAL 993,VIEQUES,00765-1554,MYRIAM R RODRIGUEZ RODRIGUEZ,FAJARDO,20 DE SEPTIEMBRE DE 1988,6.88,37.61,40.83,14.68,21.56,SI,876-2804,"{'latitude': '18.14372', 'longitude': '-65.44178'}",,,,,,,,,74,71,61,,,,,,,,12,,,"7 - 9 , EEI","7 - 9 , EEI",5.05,26.15,54.59,14.22,19.27,0,52.75,45.87,1.38,1.38,218,VIEQUES,INTERMEDIO,HUMACAO,1,741-3091,URBANA
1,86.69,57323,PR,BO QUEBRADA CALLE 1 SECT CARACOLES,PENUELAS,00624-0000,GLORIA GARCIA,YAUCO,MIGUEL GONZALEZ BAUZA,15.03,52.29,16.99,15.69,30.72,SI,836-2597,"{'latitude': '18.05554', 'longitude': '-66.71168'}",37,,,,49,40,33,40,37,,,,,32,,5,,7,,,,"PK - 6 , EEE","PK - 6 , EEE",8.61,40.40,41.72,9.27,17.88,12.42,52.94,17.65,16.99,29.41,280,PEÑUELAS,ELEMENTAL,PONCE,759,836-2597,RURAL
2,65.31,23218,PR,URB REPARTO MONTEBANCO CALLE D,CAYEY,00737-0000,WANDA I.CARTAGENA ORTIZ,CIDRA,MIGUEL MELENDEZ MUNOZ,32.84,31.34,7.46,28.36,61.19,SI,263-3044,"{'latitude': '18.1174', 'longitude': '-66.14892'}",45,,,,44,49,54,48,,,,,,30,,,,8,,,,"K - 6 , EEE","K - 6 , EEE",24.38,30.85,9.45,35.32,59.70,28.36,39.30,10.45,21.89,50.25,278,CAYEY,ELEMENTAL,CAGUAS,760,738-2058,URBANA
3,65.71,23531,PR,AVE ANTONIO R BARCELO FRENTE CUC,CAYEY,00737-0000,PEDRO SANCHEZ,CIDRA,MIGUEL MELENDEZ MUNOZ,23.98,43.27,10.53,22.22,46.20,SI,738-9065,"{'latitude': '18.116', 'longitude': '-66.16099'}",,212,179,173,,,,,,,,198,,,,,,,,,,12-Oct,12-Oct,23.67,34.32,15.98,26.04,49.70,12.72,59.54,10.40,17.34,30.06,762,CAYEY,SUPERIOR,CAGUAS,761,738-3078,URBANA
4,63.10,70276,PR,CARR 840 KM 1 HM 1 SECTOR LA ALDEA,BAYAMON,00960-3169,MARIA JUDITH VAZQUEZ FONTANEZ,BAYAMON,MIGUEL MELENDEZ MUNOZ,44.59,33.78,13.51,8.11,52.70,SI,799-6500,"{'latitude': '18.36999', 'longitude': '-66.17751'}",,156,148,127,,,,,,,,146,,,,,,,,,,12-Oct,12-Oct,23.65,27.03,27.03,22.30,45.95,18.24,45.27,19.59,16.89,35.14,577,BAYAMON II,SUPERIOR,BAYAMON,762,799-7300,RURAL
5,85.34,62398,PR,AVE BARBOSA ESQ AVE PINERO,SAN JUAN,-924,LUZ CELESTE ABREU,SAN JUAN II,MIGUEL SUCH,11.56,51.70,11.90,24.83,36.39,SI,767-2625,"{'latitude': '18.40972', 'longitude': '-66.04326'}",,281,315,253,,,,,,,,230,,,,,,,,69,,"10 - 12 , EES","10 - 12 , EES",12.29,32.08,36.52,19.11,31.40,0,69.97,29.69,0.34,0.34,1148,SAN JUAN IV,SUPERIOR,SAN JUAN,763,751-3780,URBANA
6,73.91,46987,PR,CARR 101 KM 18 HM 2,CABO ROJO,00622-1235,LEROY ALICEA CABASSA,CABO ROJO,MONSERRATE LEON IRIZARRY,24.77,37.61,4.59,33.03,57.80,SI,254-2233,"{'latitude': '18.02742', 'longitude': '-67.16392'}",,110,118,112,,,,,,,,244,,,,,,,,,,12-Oct,12-Oct,26.61,34.86,12.84,25.69,52.29,2.75,67.89,21.10,8.26,11.01,584,CABO ROJO,SUPERIOR,MAYAGUEZ,765,254-2288,RURAL
7,75.73,23135,PR,CALLE 33 BONNEVILLE HEIGTS,CAGUAS,7264952,IRMA RODRIGUEZ SOTO,GURABO,MYRNA M FUENTES,37.86,31.07,2.91,28.16,66.02,SI,704-0235,"{'latitude': '18.22953', 'longitude': '-66.04733'}",41,,,,30,36,29,29,,,,,,39,13,,,22,,,,"PK - 6 , EEE","PK - 6 , EEE",12.75,42.16,16.67,28.43,41.18,28.16,28.16,0.97,42.72,70.87,239,CAGUAS II,ELEMENTAL,CAGUAS,767,744-2231,URBANA
8,80.43,17871,PO BOX 1605,CARR 155 INT AVE LUIS M MARIN,OROCOVIS,7200000,MARIA E ALVARADO,OROCOVIS,NELIDA MELENDEZ MELENDEZ,57.32,14.65,0.64,27.39,84.71,SI,867-7448,"{'latitude': '18.22935', 'longitude': '-66.39222'}",54,,,,42,45,54,57,58,49,59,,,50,16,,,15,,,,"K - 6 , EEE","K - 8, EEE, EEI",44.59,18.47,2.55,34.39,78.98,53.50,12.10,0.64,33.76,87.26,499,OROCOVIS,ELEMENTAL,BAYAMON,769,867-2840,URBANA
9,99.54,65946,PR,RES NEMESIO CANALES,SAN JUAN,00936-0000,DORIS M. TRAVERSO VAZQUEZ,SAN JUAN I,NEMESIO R CANALES I,8.33,44.44,36.57,10.65,18.98,SI,782-6539,"{'latitude': '18.422', 'longitude': '-66.07912'}",43,,,,44,44,39,,,,1,,,44,,,,15,,,,"K - 3 , EEE","K - 3 , EEE",0.46,29.49,58.06,11.98,12.44,10.60,41.47,39.17,8.76,19.35,230,SAN JUAN II,ELEMENTAL,SAN JUAN,770,782-6539,URBANA
10,90.42,20594,PR,13 CALLE RAFAEL CORDERO URB. BORINQUEN,CAGUAS,00726-0000,ANA JOCELYN REYES SANTINI,GURABO,NICOLAS AGUAYO ALDEA,17.16,46.27,12.69,23.88,41.04,SI,743-3447,"{'latitude': '18.23249', 'longitude': '-66.03105'}",46,,,,63,35,49,41,34,29,54,,,49,,,,,22,,,9-Jul,"K - 8, EEI",12.78,45.11,34.59,7.52,20.30,3.73,67.91,24.63,3.73,7.46,422,CAGUAS I,INTERMEDIO,CAGUAS,772,743-5065,URBANA
11,78.25,71381,PR,URB JARD DE TOA ALTA CALLE 1,TOA ALTA,00953-0000,WANDA I. RIVERA RODRIGUEZ,TOA BAJA,NICOLAS SEVILLA,18.79,40.94,19.46,20.81,39.60,SI,870-8192,"{'latitude': '18.39144', 'longitude': '-66.24862'}",,193,165,170,,,,,,,,177,,,,,,,,8,,12-Oct,12-Oct,24.32,28.38,34.46,12.84,37.16,2.03,69.59,25.68,2.70,4.73,713,TOA ALTA,SUPERIOR,BAYAMON,773,870-2570,URBANA
12,82.81,56077,PR,CARR 150 KM 5 HACIA COAMO,VILLALBA,00766-0000,PEDRO M. GUEVARA,SANTA ISABEL,NORMA I TORRES COLON,3.42,44.44,36.75,15.38,18.80,SI,847-9090,"{'latitude': '18.12707', 'longitude': '-66.48902'}",15,,,,26,19,22,12,32,52,33,,,15,,,,,,,,9-Jul,K - 8,1.72,28.45,64.66,5.17,6.90,0,50,49.14,0.86,0.86,226,VILLALBA,INTERMEDIO,PONCE,774,847-9090,URBANA
13,86.26,17418,PR,CARR 685 SECT LOS RABANOS BO BOQUILLAS,MANATI,6740506,PROVIDENCIA MARTIR,MANATI,NUEVA  JUAN S MARCHAND,15.70,50,14.88,19.42,35.12,SI,854-6080,"{'latitude': '18.46071', 'longitude': '-66.48679'}",,,,,,,,,67,136,110,,,,,,,,,,,9-Jul,9-Jul,12.70,30.33,32.79,24.18,36.89,10.70,65.84,18.11,5.35,16.05,313,MANATI,INTERMEDIO,ARECIBO,776,854-4541,RURAL
14,32.74,13912,PR,CALLE BETANCES NUM.75,VEGA BAJA,00694-0000,HEDRIAN AYUSO PONCE,VEGA ALTA,NUEVA BRIGIDA ALVAREZ RODRIGUEZ,76.38,1.97,0,21.65,98.03,SI,858-9645,"{'latitude': '18.445451', 'longitude': '-66.389915'}",,73,85,45,,,,,,74,100,75,,,,,,,,,,12-Jul,12-Jul,75.20,5.51,0.79,18.50,93.70,52.76,19.29,0,27.95,80.71,452,VEGA BAJA,SECUNDARIO,ARECIBO,777,,URBANA
15,74.20,17657,PR,CALLE EMILIO GONZALEZ INTERIOR # 217,ISABELA,00662-0000,YOLANDA BARRETO BOSQUES,SAN SEBASTIAN,NUEVA CEFERINA CORDERO,12.28,40.35,36.84,10.53,22.81,SI,872-0460,"{'latitude': '18.50459', 'longitude': '-67.02416'}",74,,,,69,72,70,67,,,,,,66,,,,49,,,,"K - 6 , EEE","K - 5, PKEE, EEE",7.02,40.35,40.35,12.28,19.30,14.04,38.60,26.32,21.05,35.09,467,ISABELA,ELEMENTAL,MAYAGUEZ,778,872-0464,URBANA
16,81.84,79087,PR,CARR #181 KM 10 HM 7 BO QUEBRADA NEGRITO,TRUJILLO ALTO,9770000,JOSE LUIS SANCHEZ FIGUEROA,GUAYNABO,NUEVA ELEM BO QUEBRADA NEGRITO,20.34,35.59,19.21,24.86,45.20,SI,292-1140,"{'latitude': '18.33055', 'longitude': '-65.98879'}",66,,,,71,72,74,84,,,,,,65,,,,19,,,,"K - 6 , EEE","K - 6, EEE",11.30,48.59,18.64,21.47,32.77,24.29,36.72,21.47,17.51,41.81,451,TRUJILLO ALTO,ELEMENTAL,SAN JUAN,779,760-5755,RURAL
17,85.85,78253,PR,CARR 169 KM 6.2 BO FRAILES,GUAYNABO,00970-0000,GLADYS ERAZO,GUAYNABO,NUEVA ELEMENTAL URBANA DE GUAYNABO,16.59,42.40,16.13,24.88,41.47,SI,720-3351,"{'latitude': '18.36777778', 'longitude': '-66.77472222'}",94,,,,93,92,86,113,,,,,,70,,6,21,75,,,,PK - 6 EEE,"K - 5, EEE, PKEE",6.45,39.63,32.26,21.66,28.11,20.74,42.40,14.29,22.58,43.32,650,GUAYNABO,ELEMENTAL,SAN JUAN,780,720-2195,URBANA
18,86.36,76257,PR,CARR 167 RAMAL 816 KM 6 BO NUEVO,BAYAMON,9565829,EVELYN IRIZARRY DIAZ,BAYAMON,NUEVA ESCUELA SU ANTONIO RIVERA,15.56,37.04,15.56,31.85,47.41,SI,730-6522,"{'latitude': '18.27695', 'longitude': '-66.19346'}",29,,,,19,20,14,31,20,27,20,,,22,,,,4,2,,,"K - 9 , EEE - EEI","K - 9 , EEE - EEI",11.19,38.81,33.58,16.42,27.61,8.21,54.48,21.64,15.67,23.88,208,BAYAMON III,SEGUNDA UNIDAD,BAYAMON,781,730-6588,RURAL
19,82.76,18184,PR,CARR 140 BO LLANADAS,BARCELONETA,6170000,CARMEN MALDONADO,MANATI,NUEVA INTERMEDIA,16.30,41.11,20,22.59,38.89,SI,846-2415,"{'latitude': '18.4454', 'longitude': '-66.55698'}",,,,,,,,,158,149,155,144,,,,,,,10,,,"7 - 9 , EEI","6 - 9, EEI",15.19,29.63,28.52,26.67,41.85,1.85,66.67,26.30,5.19,7.04,616,BARCELONETA,INTERMEDIO,ARECIBO,782,846-2460,URBANA
20,54.96,77669,,,,,,COROZAL,NUEVA SUP CON DEPARTAMENTO VOCACIONAL,,,,,,SI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COROZAL,,BAYAMON,783,,
21,77.61,36335,,CARR 187 KM 5 HM 6 BO MEDIANIA,,,DORIS Y. VILLARAN OSORIO,CANOVANAS,NUEVA SUPERIOR DE LOIZA,6.25,55.47,13.28,25,31.25,SI,256-1075,"{'latitude': '18.4261', 'longitude': '-65.84931'}",,173,130,133,,,,,,,,117,,,,,,,,8,,12-Oct,12-Oct,5.51,34.65,48.03,11.81,17.32,0,71.43,26.19,2.38,2.38,561,LOIZA,SUPERIOR,HUMACAO,784,256-1075,URBANA
22,85.42,18291,,EXT CORCHADO SALIDA BO PUEBLO,CIALES,,AMELIA I. PIETRI REYES,MANATI,NUEVA URBANA DE CIALES,7.96,49.37,23.87,18.81,26.76,SI,,"{'latitude': '18.33875', 'longitude': '-66.46743'}",54,,,,46,60,58,75,82,136,119,,,45,9,,,17,5,,,PK-9,"K - 8, EEE,EEI",3.44,38.59,40.94,17.03,20.47,5.43,59.06,27.17,8.33,13.77,706,CIALES,SEGUNDA UNIDAD,ARECIBO,785,,URBANA
23,82.02,42259,PR,CARR 348 KM.5.HM.2 BO. MALEZAS,MAYAGUEZ,00681-0000,DIANE BERRIOS GONZALEZ,MAYAGUEZ,OLGA MAS RAMIREZ,15.11,47.48,12.95,24.46,39.57,SI,833-8283,"{'latitude': '18.17071', 'longitude': '-67.11'}",32,,,,36,34,41,32,31,,,,,36,9,,,,,,,K - 6,K - 6,6.47,48.92,27.34,17.27,23.74,15.83,43.17,15.11,25.90,41.73,251,MAYAGUEZ,ELEMENTAL,MAYAGUEZ,787,833-8283,RURAL
24,89.63,70805,PR,AVE LAS NEREIDAS,CATANO,00963-0000,NATALIA ECHEVARRIA JIMENEZ,TOA BAJA,ONOFRE CARBALLEIRA,3.91,47.83,36.52,11.74,15.65,SI,788-3911,"{'latitude': '18.44228', 'longitude': '-66.12877'}",,,,,,,,,58,95,88,,,,,,,,,,,9-Jul,9-Jul,3.04,33.04,53.48,10.43,13.48,3.48,50.87,43.48,2.17,5.65,241,CATANO,INTERMEDIO,BAYAMON,788,788-8975,URBANA
25,84.12,24950,PR,BDA BLONDET CALLE  D,GUAYAMA,00785-0000,IRMA M. RIVERA GARCIA,GUAYAMA,OSCAR HERNANDEZ GUEVARA,9.76,45.53,23.58,21.14,30.89,SI,864-8242,"{'latitude': '17.97367', 'longitude': '-66.12427'}",48,,,,34,31,27,57,,,,,,45,,5,,6,,,,"K - 6 , EEE","K - 6 , EEE",6.50,50.41,28.46,14.63,21.14,10.57,51.22,17.07,21.14,31.71,253,GUAYAMA,ELEMENTAL,CAGUAS,789,864-8242,RURAL
26,48.23,70201,PR,URB BAYAMON GARDENS CALLE D,BAYAMON,00960-7071,ANA VERONICA CONCEPCION MIRANDA,BAYAMON,PABLO CASALS,35.87,29.35,1.45,33.33,69.20,SI,797-1215,"{'latitude': '18.37854', 'longitude': '-66.18717'}",,84,69,74,,,,,62,64,90,97,,,,,,,,,,12-Jul,12-Jul,32.61,22.46,14.86,30.07,62.68,0.72,72.10,20.29,6.88,7.61,540,BAYAMON III,SECUNDARIO,BAYAMON,792,799-0820,URBANA
27,77.18,20560,PR,CALLE BARCELO FINAL SECTOR NUEVO,BARRANQUITAS,00794-0000,ROSA D. CAEZ VELAZQUEZ,BARRANQUITAS,PABLO COLON BERDECIA,21.12,45.96,6.21,26.71,47.83,SI,857-8591,"{'latitude': '18.1861', 'longitude': '-66.303'}",,172,173,142,,,,,,,,131,,,,,,,,30,,"10 - 12 , EES","10 - 12 , EES",27.33,39.75,12.42,20.50,47.83,15.53,62.73,8.07,13.66,29.19,648,BARRANQUITAS,SUPERIOR,CAGUAS,793,857-2897,URBANA
28,87.58,62463,PR,"CALLE PARIS, ESQ. PACHIN MARIN FLORAL PARK",SAN JUAN,00917-3632,LEONCIO MARTE PERALTA,SAN JUAN II,PACHIN MARIN,5.56,45.93,36.30,12.22,17.78,SI,764-2443,"{'latitude': '18.42225', 'longitude': '-66.05184'}",,,,,,,,,84,97,99,,,,,,,,35,,,"7 - 9 , EEI","7 - 9 , EEI",1.87,26.97,59.55,11.61,13.48,0,62.08,34.57,3.35,3.35,315,SAN JUAN IV,INTERMEDIO,SAN JUAN,795,753-9304,URBANA
29,50.71,61747,PR,236 CALLE DEL PARQUE PDA 23,SAN JUAN,00912-0000,VACANTE,SAN JUAN I,PADRE RUFO (BILINGUE),42.38,22.86,5.71,29.05,71.43,SI,722-8545,"{'latitude': '18.44663', 'longitude': '-66.06507'}",,49,72,45,,,,,50,46,47,46,,,,,,,,,,12-Jul,12-Jul,55.71,13.33,2.86,28.10,83.81,1.90,72.86,14.76,10.48,12.38,355,SAN JUAN I,SECUNDARIO,SAN JUAN,798,723-4930,URBANA
30,71.47,70219,PR,URB VILLA RICA CALLE ISLA NENA AO-10,BAYAMON,00956-0000,CARMEN BERRIOS RIVERA,BAYAMON,PAPA JUAN XXIII,5.88,64.71,10.59,18.82,24.71,SI,269-3085,"{'latitude': '18.39419', 'longitude': '-66.17469'}",,100,89,101,,,,,,,,80,,,,,,,,,,12-Oct,12-Oct,17.65,34.12,30.59,17.65,35.29,0,68.24,31.76,0,0,370,BAYAMON III,SUPERIOR,BAYAMON,799,786-0865,URBANA
31,43.76,77552,PR,ISLA NENA 10 ESQ AO VILLA RICA,BAYAMON,9560000,STEPHANIE ABED,BAYAMON,PAPA JUAN XXIII,40.38,24.91,1.13,33.58,73.96,SI,785-3449,"{'latitude': '18.39451', 'longitude': '-66.17412'}",,62,83,67,,,,,52,42,99,86,,,,,,,,,,"7 - 12 , EEI,EES","7 - 12 , EEI,EES",50.76,12.50,3.03,33.71,84.47,6.79,68.68,5.66,18.87,25.66,491,BAYAMON III,SECUNDARIO,BAYAMON,800,798-4611,URBANA
32,89.38,60400,PR,"CALLE GRANADA, URB. VISTAMAR",CAROLINA,00983-1984,PROFA. MARITZA GONZALEZ PAZ,CAROLINA,PASCASIO P SANCERRIT,7.89,50.33,24.34,17.43,25.33,SI,769-4260,"{'latitude': '18.42466', 'longitude': '-65.98505'}",57,,,,66,67,69,84,,,,,,62,,,,20,,,,"K - 6 , EEE",K - 5,3.93,41.97,42.95,11.15,15.08,7.21,45.25,27.54,20,27.21,425,CAROLINA II,ELEMENTAL,SAN JUAN,805,769-4260,URBANA
33,57,47126,PR,CARR.111KM.23HM.2BO. PIEDRAS BLANCA,SAN SEBASTIAN,00685-0000,AUREA RODRIGUEZ ROMAN,SAN SEBASTIAN,PATRIA LATORRE,48.30,22.64,3.40,25.66,73.96,SI,896-6567,"{'latitude': '18.33305', 'longitude': '-66.98298'}",,256,282,252,,,,,,,,118,,,,,,,,,,12-Oct,12-Oct,52.34,16.80,7.03,23.83,76.17,17.87,53.99,10.27,17.87,35.74,908,SAN SEBASTIAN,SUPERIOR,MAYAGUEZ,807,896-3970,RURAL
34,82.73,20941,PR,"CALLE ROBLE, URB. VILLA TURABO",CAGUAS,7264952,WANDA I VILA PEREZ,GURABO,PAULA MOJICA,30.26,32.89,1.32,35.53,65.79,SI,743-2498,"{'latitude': '18.22055', 'longitude': '-66.04353'}",23,,,,26,16,23,25,,,,,,16,,3,,16,,,,"K - 6 , EEE","K - 6 , EEE",23.68,36.84,25,14.47,38.16,21.05,38.16,3.95,36.84,57.89,148,CAGUAS II,ELEMENTAL,CAGUAS,810,743-2498,URBANA
35,84.21,11080,PR,CARR 485 KM 2 HM 2 SECT BAJURA BO YAGUADA,CAMUY,00627-0000,NORMA NATAL,CAMUY,PEDRO AMADOR,38.57,31.43,1.43,28.57,67.14,SI,898-1337,"{'latitude': '18.48358', 'longitude': '-66.88499'}",21,,,,20,20,20,16,,,,,,30,,,,,,,,K - 6,K - 6,50,8.57,1.43,40,90,34.29,20,1.43,44.29,78.57,127,CAMUY,ELEMENTAL,ARECIBO,811,898-1337,RURAL
36,83.59,30643,PR,CARR 935 KM 2 BO CEIBA NORTE,JUNCOS,00777-0000,EVELYN DAVILA SIERRA,LAS PIEDRAS,PEDRO BOSCH,17.13,39.23,18.23,25.41,42.54,SI,734-1275,"{'latitude': '18.21698', 'longitude': '-65.89179'}",24,,,,33,44,51,23,41,28,,,,27,,,,,,,,K - 6,K - 6,7.82,48.04,29.05,15.08,22.91,13.33,54.44,14.44,17.78,31.11,271,JUNCOS,ELEMENTAL,HUMACAO,812,734-4346; 733-6455,RURAL
37,73.21,66357,PR,CALLE 16 NO ESQ CALLE 9 NO,SAN JUAN,9200000,NELIDA TORRES MALAVE,SAN JUAN I,PEDRO C TIMOTHEE ANEXO,39.13,0,56.52,4.35,43.48,SI,277-9194,"{'latitude': '18.4155', 'longitude': '-66.09346'}",,,,,,,,,,,,,,,,,,1,,102,,EEE - EES,EEE - EES,17.39,0,82.61,0,17.39,82.61,0,0,17.39,100,103,SAN JUAN II,TODOS LOS NIVELES,SAN JUAN,813,783-3966,URBANA
38,80.51,61481,PR,CALLE 5 NE PUERTO NUEVO,SAN JUAN,00927-0094,WANDA GIL DE LAMADRID,SAN JUAN I,PEDRO CARLOS TIMOTHEE,37.14,25.71,2.86,34.29,71.43,SI,774-1511,"{'latitude': '18.41638', 'longitude': '-66.08736'}",52,,,,50,44,50,38,,,,,,49,,,,5,,,,"K - 6 , EEE","K - 5, EEE",20.29,31.88,13.04,34.78,55.07,45.59,22.06,0,32.35,77.94,288,SAN JUAN II,ELEMENTAL,SAN JUAN,814,782-1280,URBANA
39,81.75,58172,PR,CARR 14 KM 11 BO JACAGUAS,JUANA DIAZ,7950000,MAYRA E. RODRIGUEZ RIVERA,SANTA ISABEL,PEDRO COLON SANTIAGO,18.54,44.88,9.27,27.32,45.85,SI,260-6468,"{'latitude': '18.05349', 'longitude': '-66.52275'}",13,,,,25,33,23,29,40,38,31,,,24,,,,15,,,,K - 9,K - 9,10.73,46.34,23.41,19.51,30.24,9.76,60.49,9.76,20,29.76,271,JUANA DIAZ,SEGUNDA UNIDAD,PONCE,815,837-1016,RURAL
40,77.03,33233,PR,CALLE PIMENTEL SECTOR LAS FLORES,RIO GRANDE,7450000,HECTOR SANTIAGO,CANOVANAS,PEDRO FALU ORELLANO,8.96,56.72,14.43,19.90,28.86,SI,887-8056,"{'latitude': '18.37933', 'longitude': '-65.83181'}",,182,217,165,,,,,,,,223,,,,,,,,4,,12-Oct,12-Oct,12.50,40,29.50,18,30.50,0.50,63.68,35.82,0,0.50,791,RIO GRANDE,SUPERIOR,HUMACAO,816,887-2778,URBANA
41,74.75,53058,PR,CALLE LIBERTAD BO PLAYITA CORTADA,SANTA ISABEL,00757-0000,HECTOR A. CARDONA RIVERA,SANTA ISABEL,PEDRO MELENDEZ SANTIAGO,33.22,35.64,4.50,26.64,59.86,SI,845-3565,"{'latitude': '17.9842', 'longitude': '-66.43702'}",47,,,,42,44,52,40,49,54,49,,,38,,,,,7,,,"K - 9 , EEI","K - 9 , EEI",16.26,43.25,16.61,23.88,40.14,14.19,50.17,11.07,24.57,38.75,422,SANTA ISABEL,SEGUNDA UNIDAD,PONCE,820,845-3565,RURAL
42,67.53,20669,PR,Y 6 CALLE 7 URB RES BAIROA,CAGUAS,00726-4956,MYRNA MARTINEZ ACEVEDO,GURABO,PEDRO MILLAN RIVERA,28.84,31.84,10.86,28.46,57.30,SI,745-3125,"{'latitude': '18.25727', 'longitude': '-66.04055'}",42,,,,49,54,59,71,81,,,,,33,,,,,,,,K - 6,K - 6,22.47,37.45,13.48,26.59,49.06,20.60,37.08,13.48,28.84,49.44,389,CAGUAS I,ELEMENTAL,CAGUAS,821,744-4777,URBANA
43,92.62,60418,PR,APARTADO 3114 VALLE,CAROLINA,9840000,NORMA I DE JESUS,CAROLINA,PEDRO MOCZO BANIET,5.18,50.78,22.28,21.76,26.94,SI,257-6390,"{'latitude': '18.40196', 'longitude': '-65.98987'}",64,,,,68,55,62,64,,,,,,38,,,,53,,,,"K - 6 , EEE","K - 6 , EEE",8.33,51.04,15.10,25.52,33.85,6.77,45.31,23.96,23.96,30.73,404,CAROLINA II,ELEMENTAL,SAN JUAN,822,769-2612,URBANA
44,83.72,40980,,,,,,CABO ROJO,PEDRO NELSON COLBERG,,,,,,SI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CABO ROJO,,MAYAGUEZ,823,,
45,90.87,73650,PR,URB JARDINES DE CAPARRA CALLE 21 #200,BAYAMON,9596357,ANA M MENDEZ,BAYAMON,PEDRO P CASABLANCA,0,51.52,42.42,6.06,6.06,SI,782-5518,"{'latitude': '18.39477', 'longitude': '-66.12655'}",,28,24,23,,,,,23,35,32,45,,,,,,,,42,,"7 - 12 , EEI, EES","7 - 12 , EEI, EES",0,12.50,71.88,15.63,15.63,3.03,42.42,54.55,0,3.03,252,BAYAMON I,SECUNDARIO,BAYAMON,824,782-1562,URBANA
46,71.84,25932,PR,"URB. VALLE TOLIMA CALLE MILAGROS CARRILLO, BLQ. Q",CAGUAS,7260000,LEIGH MILLAN,GURABO,PEPITA ARENAS,16.03,38.93,11.45,33.59,49.62,SI,745-3120,"{'latitude': '18.24005', 'longitude': '-66.04732'}",23,,,,23,37,35,36,,,,,,23,,6,,32,,,,"K - 6 , EEE","K - 6 , EEE",8.46,51.54,21.54,18.46,26.92,26.92,41.54,5.38,26.15,53.08,215,CAGUAS I,ELEMENTAL,CAGUAS,827,746-4262,URBANA
47,79.71,21063,PR,CALLE ESMERALDA #1 ESQ CORAL,CAGUAS,7260000,JOSEFA RAMOS GARCIA,GURABO,PEPITA GARRIGA,58.62,18.62,0.69,22.07,80.69,SI,744-0575,"{'latitude': '18.24623', 'longitude': '-66.03261'}",40,,,,45,50,46,53,,,,,,45,,,,,,,,K - 6,K - 6,50.34,21.38,0.69,27.59,77.93,69.66,14.48,1.38,14.48,84.14,279,CAGUAS I,ELEMENTAL,CAGUAS,828,743-3633,URBANA
48,66.67,17350,PR,CARR 670 KM 2 HM 7,MANATI,00674-0000,SANTOS SERRANO,MANATI,PETRA CORRETJER DE O'NEILL,14.67,52.72,4.89,27.72,42.39,SI,884-7282,"{'latitude': '18.42493', 'longitude': '-66.46694'}",,229,191,175,,,,,,,,,,,,,,,,9,,12-Oct,12-Oct,25,28.26,14.13,32.61,57.61,12.50,52.72,16.85,17.93,30.43,604,MANATI,SUPERIOR,ARECIBO,831,854-6601,URBANA
49,56.25,34884,PR,CARR 906 AVE TEJAS FINAL,HUMACAO,00791-9141,GERARDO GONZALEZ,LAS PIEDRAS,PETRA MERCADO BOUGART,18.18,41.18,14.97,25.67,43.85,SI,852-7780,"{'latitude': '18.14719', 'longitude': '-65.84094'}",,213,198,184,,,,,,,,199,,,,,,,,,,12-Oct,12-Sep,28.34,28.88,21.93,20.86,49.20,0.54,68.28,23.66,7.53,8.06,794,HUMACAO,SUPERIOR,HUMACAO,832,852-7780 - 852-2880,RURAL
50,90,66480,PR,"CARR. 887, KM. 3.5 BO SAN ANTON",CAROLINA,00984-0000,ALBA RAQUEL FALERO LA SANTA,CAROLINA,PETRA ROMAN VIGO,9.32,51.55,23.60,15.53,24.84,SI,757-6625,"{'latitude': '18.38', 'longitude': '-65.99807'}",,,,,,,,,80,59,56,,,,,,,,142,,,"7 - 9 , EEI",8-Jun,8.07,45.96,37.27,8.70,16.77,0.63,54.38,41.25,3.75,4.38,337,CAROLINA I,INTERMEDIO,SAN JUAN,833,769-3255,URBANA
51,76.78,60913,PR,CARR 181 KM 1 HM 8 BO LAS CUEVAS,TRUJILLO ALTO,00978-0000,MARIA DE LOS A RIVERA OFARRELL,GUAYNABO,PETRA ZENON DE FABERY,10.34,48.97,12.41,28.28,38.62,SI,748-3645,"{'latitude': '18.36882', 'longitude': '-66.01117'}",,138,160,184,,,,,,,,68,,,,,,,,13,,"10 - 12 , EES","10 - 12 , EES",17.93,30.34,30.34,21.38,39.31,0,69.66,29.66,0.69,0.69,563,TRUJILLO ALTO,SUPERIOR,SAN JUAN,834,760-0685,RURAL
