,bajo_nivel_pobreza,codigo,direccio_estado,direccio_fisica,direccion_municipio,direccion_zipcode,director,distrito,escuela,espa_ol_avanzado,espa_ol_b_sico,espa_ol_pre_b_sico,espa_ol_proficiente,espa_ol_proficiente_avanzado,estatus_actual,fax,geolocalizacion,grado_1,grado_10,grado_11,grado_12,grado_2,grado_3,grado_4,grado_5,grado_6,grado_7,grado_8,grado_9,grado_infant,grado_k,grado_pk,grado_pke,grado_pkm,grado_sge,grado_sgi,grado_sgs,grado_toddler,grados_original,grados_posterior,ingl_s_avanzado,ingl_s_b_sico,ingl_s_pre_b_sico,ingl_s_proficiente,ingl_s_proficiente_avanzado,matem_ticas_avanzado,matem_ticas_b_sico,matem_ticas_pre_b_sico,matem_ticas_proficiente,matem_ticas_proficiente_avanzado,matricula_total,municipio_escolar,nivel_original,region,table_id,telefono,zona
300,87.46,26336,PR,CARR 3 KM. 143 HM 8,GUAYAMA,00785-0000,ADA L VAZQUEZ SERRANO,GUAYAMA,ADELA BRENES TEXIDOR,10,50,21.67,18.33,28.33,SI,866-6463,"{'latitude': '17.95553', 'longitude': '-66.16153'}",,52,45,41,,,,,,56,71,58,,,,,,,17,,,"7 - 12 , EEI","7 - 12 , EEI",11.11,28.89,35,25,36.11,0.56,74.44,19.44,5.56,6.11,340,GUAYAMA,SECUNDARIO,CAGUAS,10,864-7700,RURAL
301,59.53,78931,PR,"AVE PRINCIPAL, TOA ALTA HEIGHTS",TOA ALTA,00954-0000,WANDA J SILVAGNOLI MANUEL,TOA BAJA,ADELA ROLON FUENTES,18.18,40.26,14.94,26.62,44.81,SI,279-8282,"{'latitude': '18.3609', 'longitude': '-66.21538'}",,143,171,247,,,,,,,,142,,,,,,,,,,12-Oct,12-Oct,21.38,28.97,33.10,16.55,37.93,1.33,63.33,30,5.33,6.67,703,TOA ALTA,SUPERIOR,BAYAMON,11,279-8282,RURAL
302,76.91,71514,PR,AVE LUIS MUNOZ RIVERA FINAL #2,TOA BAJA,9510000,LUIS R. ROCCA CASTRO,TOA BAJA,ADOLFINA IRIZARRY DE PUIG,16.88,41.25,16.88,25,41.88,SI,794-2018,"{'latitude': '18.43998', 'longitude': '-66.25288'}",,175,168,149,,,,,,,,136,,,,,,,,,,12-Oct,12-Oct,12.35,27.16,48.15,12.35,24.69,0.62,72.05,22.36,4.97,5.59,628,TOA BAJA,SUPERIOR,BAYAMON,12,794-2018,URBANA
303,88.96,42473,PR,230 CALLE ISABELA PUEBLO,MOCA,00676-0000,ELBA HERNANDEZ,SAN SEBASTIAN,ADOLFO BABILONIA,19.77,36.16,24.86,19.21,38.98,SI,877-3170,"{'latitude': '18.39537', 'longitude': '-67.11244'}",49,,,,41,54,42,67,,,,,,34,,5,,30,,,,"K - 6 , EEE","K - 6 , EEE",15.43,33.71,24,26.86,42.29,22.86,40.57,16,20.57,43.43,322,MOCA,ELEMENTAL,MAYAGUEZ,13,877-3170,URBANA
304,70.47,58594,,CARR 141-R KM 2 HM 1 SECTOR PUEBLO,,,JOSE R COLON TORRES,UTUADO,ADRIAN TORRES TORRES,20.22,34.93,16.54,28.31,48.53,SI,,"{'latitude': '18.132715', 'longitude': '-66.354215'}",,,,,,,,,107,92,77,101,,,,,,,10,,,"7 - 9 , EEI","7 - 9 , EEI",9.56,43.75,28.68,18.01,27.57,0.74,69.49,22.43,7.35,8.09,387,JAYUYA,INTERMEDIO,PONCE,15,828-3625,URBANA
305,79.28,32375,,,,,,FAJARDO,ADRIANNE SERRANO,,,,,,SI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VIEQUES,,HUMACAO,16,,
306,78.81,74807,PR,CALLE S ESQ T URB ALTURAS,VEGA BAJA,00694-7004,DRA. LUCIA VEGA MOLINA,VEGA ALTA,AGAPITO ROSARIO ROSARIO,26.10,37.11,11.95,24.84,50.94,SI,858-1630,"{'latitude': '18.43408', 'longitude': '-66.40216'}",71,,,,70,76,70,85,,,,,,66,,5,,4,,,,"K - 6 , EEE","K - 6 , EEE",10.73,42.27,13.88,33.12,43.85,15.46,48.58,13.25,22.71,38.17,447,VEGA BAJA,ELEMENTAL,ARECIBO,17,858-2988,RURAL
307,,74286,PR,CARR 819 KM 1.1 BUCARABONES,TOA ALTA,-954,BELKIS ARENADO RODRIGUEZ,TOA BAJA,AGRICOLA DE BUCARABONES,,,,,,SI,251-9316,"{'latitude': '18.38543', 'longitude': '-66.21732'}",,,,,,,,,,,,,,,,,,,,,,ADULTOS,ADULTOS,,,,,,,,,,,,TOA ALTA,PS - OTROS,BAYAMON,18,780-0615,RURAL
308,83.15,50740,PR,45 CALLE 13 DE MARZO,GUANICA,6530690,CARLOS J. FELICIANO ACOSTA,YAUCO,AGRIPINA SEDA,11.90,34.20,34.20,19.70,31.60,SI,821-8063,"{'latitude': '17.9726', 'longitude': '-66.90617'}",,,,,,,,,98,73,91,,,,,,,,12,,,"7 - 9 , EEI","7 - 9 , EEI",12.64,33.72,32.95,20.69,33.33,0,58.58,40.30,1.12,1.12,274,GUANICA,INTERMEDIO,PONCE,19,821-2570,URBANA
309,,27623,PR,URB. VIVES BO MACHETE,GUAYAMA,00785-0000,JAIME A COLON APONTE,GUAYAMA,INSTITUTO TEC RECINTO DE GUAYAMA,,,,,,SI,864-3350,"{'latitude': '17.97802', 'longitude': '-66.11837'}",,,,,,,,,,,,,,,,,,,,,,13-14,13-14,,,,,,,,,,,,GUAYAMA,PS - INSTITUTO,CAGUAS,442,864-0354,URBANA
310,83.44,66019,PR,URB V.CAROLINA,CAROLINA,00985-0000,GISELA ACEVEDO,CAROLINA,AGUSTIN CABRERA,13.75,52.50,7.50,26.25,40,SI,768-1725,"{'latitude': '18.39549', 'longitude': '-65.96069'}",,,,,,,,,161,140,164,,,,,,,,,,,9-Jul,"6 - 8, EEE",16.25,34.38,33.75,15.63,31.88,1.25,73.75,23.75,1.25,2.50,465,CAROLINA II,INTERMEDIO,SAN JUAN,21,768-1725,URBANA
311,89.51,62984,PR,CALLE HAYDEE REXACH ESQ BORINQUEN,SAN JUAN,00916-0000,VILMA SANTIAGO,SAN JUAN II,ALBERT EINSTEIN,5.88,58.82,16.47,18.82,24.71,SI,727-5625,"{'latitude': '18.4331', 'longitude': '-66.04607'}",,93,104,124,,,,,,,,89,,,,,,,,15,,"10 - 12 , EES","10 - 12 , EES",3.53,29.41,49.41,17.65,21.18,0,60.47,39.53,0,0,425,SAN JUAN IV,SUPERIOR,SAN JUAN,24,727-5525,URBANA
312,81.53,14340,PO BOX 644,CALLE JUAN D RIVERA DE SANTIAGO,OROCOVIS,00720-0000,GISELA PADILLA RIVERA,OROCOVIS,ALBERTO MELENDEZ,13.83,48.94,15.96,21.28,35.11,SI,867-3353,"{'latitude': '18.22596', 'longitude': '-66.39266'}",,144,111,142,,,,,,,,114,,,,,,,,,,12-Oct,12-Oct,20.21,31.91,26.60,21.28,41.49,9.57,61.70,20.21,8.51,18.09,511,OROCOVIS,SUPERIOR,BAYAMON,25,867-3353,URBANA
